year,agency_code,asm_option,k2_feeder,subgroup,aaa_score,aaa_score_masking,awa_score,awa_score_masking,cgrs_score,cgrs_score_masking,elp_score,elp_score_masking,mcr_score,mcr_score_masking,scgs_score,scgs_score_masking,bi_score,bi_score_masking,ach_score,eg_status,eg_score,spg_score,spg_grade,mags_score,mags_score_masking,ma_eg_status,ma_eg_score,ma_spg_score,ma_spg_grade,rdgs_score,rdgs_score_masking,rd_eg_status,rd_eg_score,rd_spg_score,rd_spg_grade
2018,00A000,N,N,ALL,50.2,,,,,,,,,,62.9,,57.6,,52.3,NotMet,50.0,52.0,D,35.1,,NotMet,50.0,38.0,F,66.0,,NotMet,65.5,66.0,C
2018,00A000,N,N,AS7,82.5,,,,,,,,,,,,,,82.5,,,83.0,B,,,,,,,,,,,,
2018,00A000,N,N,BL7,37.6,,,,,,,,,,41.3,,45.2,,38.5,NotMet,59.5,43.0,D,,,,,,,,,,,,
2018,00A000,N,N,EDS,31.2,,,,,,,,,,42.0,,,,32.7,NotMet,53.3,37.0,F,,,,,,,,,,,,
2018,00A000,N,N,ELS,42.1,,,,,,,,,,,,,,42.1,,,42.0,D,,,,,,,,,,,,
2018,00A000,N,N,HI7,47.6,,,,,,,,,,62.7,,,,50.0,NotMet,59.4,52.0,D,,,,,,,,,,,,
2018,00A000,N,N,MU7,45.6,,,,,,,,,,,,,,45.6,NotMet,60.3,49.0,D,,,,,,,,,,,,
2018,00A000,N,N,SWD,19.8,,,,,,,,,,38.1,,,,22.2,NotMet,63.9,31.0,F,,,,,,,,,,,,
2018,00A000,N,N,WH7,54.5,,,,,,,,,,70.8,,66.4,,57.2,NotMet,50.0,56.0,C,,,,,,,,,,,,
2018,00B000,N,N,ALL,45.6,,78.1,,60.0,,,,27.3,,66.1,,48.8,,48.6,NotMet,55.4,50.0,D,30.1,,NotMet,51.5,34.0,F,59.0,,Met,79.5,63.0,C
2018,00B000,N,N,BL7,32.8,,,,,,,,,,55.1,,36.4,,35.7,NotMet,68.1,42.0,D,,,,,,,,,,,,
2018,00B000,N,N,EDS,35.5,,,,,,,,,,63.4,,33.3,,38.8,NotMet,55.4,42.0,D,,,,,,,,,,,,
2018,00B000,N,N,ELS,27.8,,,,,,,,,,,,,,27.8,,,28.0,F,,,,,,,,,,,,
2018,00B000,N,N,HI7,44.4,,,,,,,,,,66.7,,,,47.1,Met,75.5,53.0,D,,,,,,,,,,,,
2018,00B000,N,N,MU7,46.5,,,,,,,,,,70.3,,,,49.8,Met,79.8,56.0,C,,,,,,,,,,,,
2018,00B000,N,N,SWD,21.7,,,,,,,,,,43.4,,31.4,,25.2,Met,76.1,35.0,F,,,,,,,,,,,,
2018,00B000,N,N,WH7,49.7,,,,54.1,,,,,,69.2,,53.1,,52.4,NotMet,54.9,53.0,D,,,,,,,,,,,,
2018,010303,N,N,ALL,85.5,,,,95.0,1.0,,,,,,,84.4,,88.1,Met,76.7,86.0,A,,,,,,,,,,,,
2018,010303,N,N,EDS,80.0,,,,,,,,,,,,80.0,,80.0,,,80.0,B,,,,,,,,,,,,
2018,010304,N,N,ALL,59.2,,,,,,73.2,,,,72.5,,,,61.6,Met,73.7,64.0,C,65.0,,Met,83.0,69.0,C,53.3,,NotMet,68.7,56.0,C
2018,010304,N,N,BL7,61.1,,,,,,,,,,,,,,61.1,,,61.0,C,,,,,,,,,,,,
2018,010304,N,N,EDS,43.1,,,,,,69.4,,,,59.1,,,,47.4,Met,80.2,54.0,D,,,,,,,,,,,,
2018,010304,N,N,ELS,44.4,,,,,,73.2,,,,,,,,51.5,Met,81.5,58.0,C,,,,,,,,,,,,
2018,010304,N,N,HI7,45.7,,,,,,73.7,,,,,,,,51.0,Met,76.0,56.0,C,,,,,,,,,,,,
2018,010304,N,N,MU7,59.4,,,,,,,,,,,,,,59.4,,,59.0,C,,,,,,,,,,,,
2018,010304,N,N,SWD,10.7,,,,,,,,,,,,,,10.7,Met,70.0,23.0,F,,,,,,,,,,,,
2018,010304,N,N,WH7,64.5,,,,,,,,,,75.0,,,,65.9,Met,80.6,69.0,C,,,,,,,,,,,,
2018,010308,N,N,ALL,60.2,,,,,,,,,,64.3,,,,60.9,Met,84.9,66.0,C,64.1,,Met,83.8,68.0,C,56.2,,Met,84.1,62.0,C
2018,010308,N,N,BL7,30.4,,,,,,,,,,,,,,30.4,Met,76.0,40.0,D,,,,,,,,,,,,
2018,010308,N,N,EDS,43.6,,,,,,,,,,49.1,,,,44.5,Exceeded,86.9,53.0,D,,,,,,,,,,,,
2018,010308,N,N,ELS,35.7,,,,,,,,,,,,,,35.7,Met,83.9,45.0,D,,,,,,,,,,,,
